Rank,Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Position,Skill moves,Age,Nation,League,Team,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
1888,Marco Davide Faraoni,75,73,72,74,74,69,70,RM,3,32,Italy,Serie A Enilive,Hellas Verona,,,,,
1888,Bernardo,75,71,53,64,68,75,75,LB,3,29,Brazil,Bundesliga,VfL Bochum 1848,,,,,
1888,Guillermo Fernández,75,67,67,73,76,65,66,CM,3,32,Argentina,Sudamericana,Boca Juniors,,,,,
1888,Jesus Ferreira,75,84,73,71,76,45,67,ST,2,23,United States,MLS,FC Dallas,,,,,
1888,Marco Friedl,75,71,42,61,67,76,75,CB,2,26,Austria,Bundesliga,SV Werder Bremen,,,,,
1888,Angelo Fulgini,75,71,69,75,78,67,71,CAM,4,28,France,Ligue 1 McDonald's,RC Lens,,,,,
1888,Mijat Gaćinović,75,78,67,72,78,63,67,LM,4,29,Serbia,Hellas Liga,AEK Athens,,,,,
1888,James Garner,75,66,65,77,71,71,71,CM,3,23,England,Premier League,Everton,,,,,
1888,Dániel Gazdag,75,77,73,68,76,54,72,CAM,3,28,Hungary,MLS,Philadelphia,,,,,
1888,Yann Gboho,75,76,68,70,79,36,58,CAM,3,23,France,Ligue 1 McDonald's,Toulouse FC,,,,,
1888,Billy Gilmour,75,60,58,75,76,70,62,CDM,3,23,Scotland,Serie A Enilive,SSC Napoli,,,,,
1888,Ben Godfrey,75,81,44,61,61,74,76,CB,2,26,England,Serie A Enilive,Bergamo Calcio,,,,,
1888,Víctor Gómez,75,80,51,74,75,69,71,RB,3,24,Spain,Liga Portugal,SC Braga,,,,,
1888,Cristo González,75,83,73,68,80,37,73,ST,3,26,Spain,Liga Portugal,Arouca,,,,,
1888,Leandro González Pirez,75,68,54,62,67,74,81,CB,2,32,Argentina,Libertadores,River Plate,,,,,
1888,Kamil Grabara,75,76,75,72,76,42,75,GK,1,25,Poland,Bundesliga,VfL Wolfsburg,76.0,75.0,72.0,75.0,76.0
1888,Jacob Greaves,75,69,40,63,65,75,79,CB,2,24,England,Premier League,Ipswich,,,,,
1888,Albert Grønbæk,75,77,68,72,77,62,72,CAM,4,23,Denmark,Ligue 1 McDonald's,Stade Rennais FC,,,,,
1888,Marko Grujić,75,59,71,71,75,74,82,CM,3,28,Serbia,Liga Portugal,FC Porto,,,,,
1888,Marco Grüll,75,93,73,67,74,36,72,LM,4,26,Austria,Bundesliga,SV Werder Bremen,,,,,
1888,Cristian Guanca,75,72,78,72,75,40,71,CAM,3,31,Argentina,ROSHN Saudi League,Al Shabab,,,,,
1888,Javi Guerra,75,74,70,72,75,72,72,CM,3,21,Spain,LALIGA EA SPORTS,Valencia CF,,,,,
1888,Ander Guevara,75,43,63,72,71,72,69,CM,3,27,Spain,LALIGA EA SPORTS,D. Alavés,,,,,
1888,Pape Gueye,75,58,60,70,71,74,76,CM,2,25,Senegal,LALIGA EA SPORTS,Villarreal CF,,,,,
1888,Frédéric Guilbert,75,71,47,68,71,73,75,RB,3,29,France,Serie A Enilive,Lecce,,,,,
1888,Marcel Hartel,75,72,70,73,79,43,61,CM,3,28,Germany,MLS,St. Louis CITY SC,,,,,
1888,Taylor Harwood-Bellis,75,66,36,61,67,76,76,CB,2,22,England,Premier League,Southampton,,,,,
1888,Jack Hendry,75,78,56,63,65,72,85,CB,2,29,Scotland,ROSHN Saudi League,Ettifaq FC,,,,,
1888,Gastón Hernández,75,67,37,52,59,76,72,CB,2,26,Argentina,Libertadores,San Lorenzo,,,,,
1888,Luís Hernández,75,62,50,65,65,75,78,CB,2,35,Spain,LALIGA HYPERMOTION,Cádiz CF,,,,,
1888,Nicolas Höfler,75,57,47,65,67,75,72,CDM,2,34,Germany,Bundesliga,SC Freiburg,,,,,
1888,Hong Hyeon Seok,75,72,71,74,76,66,68,CAM,3,25,Korea Republic,Bundesliga,1. FSV Mainz 05,,,,,
1888,Timo Hübers,75,73,40,56,59,75,75,CB,2,28,Germany,Bundesliga 2,1. FC Köln,,,,,
1888,Odion Ighalo,75,61,77,64,71,43,83,ST,4,35,Nigeria,ROSHN Saudi League,Al Wehda,,,,,
1888,Stanislav Iljutcenko,75,68,77,58,68,37,84,ST,3,34,Russia,K League 1,FC Seoul,,,,,
1888,Franco Israel,75,79,72,71,81,31,76,GK,1,24,Uruguay,Liga Portugal,Sporting CP,79.0,72.0,71.0,76.0,81.0
1888,Kristijan Jakić,75,67,61,64,68,74,79,CDM,2,27,Croatia,Bundesliga,FC Augsburg,,,,,
1888,Daniel James,75,93,70,66,74,46,66,RM,3,26,Wales,EFL Championship,Leeds United,,,,,
1888,Jo Hyeon Woo,75,77,72,62,78,51,73,GK,1,32,Korea Republic,K League 1,Ulsan Hyundai,77.0,72.0,62.0,73.0,78.0
1888,Alistair Johnston,75,79,57,71,70,71,80,RB,2,25,Canada,Scottish Prem,Celtic,,,,,
1888,James Justin,75,79,50,70,69,72,71,LB,3,26,England,Premier League,Leicester City,,,,,
1888,Thomas Kaminski,75,73,75,70,77,46,74,GK,1,31,Belgium,EFL Championship,Luton Town,73.0,75.0,70.0,74.0,77.0
1888,Atakan Karazor,75,48,36,62,66,77,73,CDM,2,27,Germany,Bundesliga,VfB Stuttgart,,,,,
1888,Michael Keane,75,41,49,62,59,76,74,CB,2,31,England,Premier League,Everton,,,,,
1888,Mandela Keita,75,78,56,67,75,72,80,CDM,3,22,Belgium,Serie A Enilive,Parma,,,,,
1888,Lloyd Kelly,75,67,40,65,67,75,78,CB,3,25,England,Premier League,Newcastle Utd,,,,,
1888,Rani Khedira,75,54,43,57,62,79,80,CDM,2,30,Germany,Bundesliga,Union Berlin,,,,,
1888,Ki Sung Yueng,75,54,66,76,70,64,77,CM,3,35,Korea Republic,K League 1,FC Seoul,,,,,
1888,Cédric Kipré,75,68,35,49,55,73,85,CB,2,27,Côte d'Ivoire,Ligue 1 McDonald's,Stade de Reims,,,,,
1888,Derrick Köhn,75,87,68,71,76,69,75,LB,4,25,Germany,Bundesliga,SV Werder Bremen,,,,,
1888,Philipp Köhn,75,76,73,68,76,46,74,GK,1,26,Switzerland,Ligue 1 McDonald's,AS Monaco,76.0,73.0,68.0,74.0,76.0
1888,Dominik Kohr,75,80,63,60,70,74,80,CB,2,30,Germany,Bundesliga,1. FSV Mainz 05,,,,,
1888,Aboubakary Koita,75,83,77,70,77,57,69,LM,4,25,Mauritania,Hellas Liga,AEK Athens,,,,,
1888,Giannis Konstantelias,75,77,65,74,79,38,56,CAM,4,21,Greece,Hellas Liga,PAOK FC,,,,,
1888,Tom Krauß,75,70,66,66,73,72,75,CDM,2,23,Germany,EFL Championship,Luton Town,,,,,
1888,Victor Kristiansen,75,73,55,67,73,71,73,LB,3,21,Denmark,Premier League,Leicester City,,,,,
1888,Nikola Krstović,75,66,75,57,71,26,74,ST,2,24,Montenegro,Serie A Enilive,Lecce,,,,,
1888,Jan Kuchta,75,79,73,66,72,35,82,ST,3,27,Czech Republic,3F Superliga,FC Midtjylland,,,,,
1888,Qazim Laçi,75,72,69,75,76,69,77,CM,3,28,Albania,Česká Liga,Sparta Praha,,,,,
1888,Tariq Lamptey,75,85,44,66,77,70,50,RB,2,23,Ghana,Premier League,Brighton,,,,,
1888,Manuel Lanzini,75,63,71,76,80,43,51,CAM,4,31,Argentina,Libertadores,River Plate,,,,,
1888,Cyle Larin,75,71,75,65,69,28,78,ST,3,29,Canada,LALIGA EA SPORTS,RCD Mallorca,,,,,
1888,Jørgen Strand Larsen,75,77,75,58,69,32,82,ST,3,24,Norway,Premier League,Wolves,,,,,
1888,Jamaal Lascelles,75,40,35,51,50,76,78,CB,2,30,England,Premier League,Newcastle Utd,,,,,
1888,Romeo Lavia,75,67,50,70,75,73,73,CDM,3,20,Belgium,Premier League,Chelsea,,,,,
1888,Jérémy Le Douaron,75,66,73,69,74,50,73,ST,3,26,France,Serie BKT,Palermo,,,,,
1888,Cristian Lema,75,32,53,58,42,75,83,CB,2,34,Argentina,Sudamericana,Boca Juniors,,,,,
1888,Jesper Lindstrøm,75,82,72,68,79,43,60,CAM,4,24,Denmark,Premier League,Everton,,,,,
1888,Marko Livaja,75,72,76,71,77,38,79,ST,4,31,Croatia,Liga Hrvatska,Hajduk Split,,,,,
1888,Robin Lod,75,73,71,73,75,59,71,RM,3,31,Finland,MLS,Minnesota United,,,,,
1888,Enzo Loiodice,75,66,64,74,77,69,67,CM,3,23,France,LALIGA EA SPORTS,UD Las Palmas,,,,,
1888,Leonardo,75,78,75,59,73,36,73,ST,3,27,Brazil,CSL,Zhejiang Pro,,,,,
1888,Jordan Lotomba,75,78,48,65,72,71,68,RB,2,25,Switzerland,Eredivisie,Feyenoord,,,,,
1888,Costinha,75,75,65,72,73,69,77,RM,3,24,Portugal,Hellas Liga,Olympiacos FC,,,,,
1888,Eduard Löwen,75,66,70,74,72,70,82,CM,3,27,Germany,MLS,St. Louis CITY SC,,,,,
1888,Jhonatan,75,76,75,73,78,37,74,GK,1,33,Brazil,Liga Portugal,Rio Ave FC,76.0,75.0,73.0,74.0,78.0
1888,Saša Lukić,75,53,69,74,75,70,70,CM,3,28,Serbia,Premier League,Fulham,,,,,
1888,Senne Lynen,75,70,62,72,67,73,77,CDM,2,25,Belgium,Bundesliga,SV Werder Bremen,,,,,
1888,Giangiacomo Magnani,75,64,39,45,50,76,72,CB,2,28,Italy,Serie A Enilive,Hellas Verona,,,,,
1888,Hugo Magnetti,75,45,50,68,74,69,75,CDM,3,26,France,Ligue 1 McDonald's,Stade Brestois 29,,,,,
1888,Ainsley Maitland-Niles,75,76,61,71,73,71,72,RB,3,27,England,Ligue 1 McDonald's,OL,,,,,
1888,Víctor Ignacio Malcorra,75,68,71,79,76,59,65,CAM,3,37,Argentina,Libertadores,Rosario Central,,,,,
1888,Dennis Man,75,92,72,69,77,45,73,RM,4,26,Romania,Serie A Enilive,Parma,,,,,
1888,Daniel Mancini,75,81,72,70,76,59,68,RM,3,27,Argentina,Hellas Liga,Panathinaikos,,,,,
1888,Federico Mancuello,75,63,69,80,76,56,63,CAM,4,35,Argentina,Primera División,Independiente,,,,,
1888,Petros Mantalos,75,72,68,77,76,55,66,CAM,3,33,Greece,Hellas Liga,AEK Athens,,,,,
1888,Pablo Marí,75,55,40,49,53,77,72,CB,2,31,Spain,Serie A Enilive,Monza,,,,,
1888,Răzvan Marin,75,64,74,76,75,67,71,CM,4,28,Romania,Serie A Enilive,Cagliari,,,,,
1888,Eric Martel,75,63,51,62,71,76,81,CDM,2,22,Germany,Bundesliga 2,1. FC Köln,,,,,
1888,Gonzalo Martínez,75,75,73,72,81,35,55,RM,4,31,Argentina,Libertadores,River Plate,,,,,
1888,Toni Martínez,75,68,76,60,72,24,78,ST,3,27,Spain,LALIGA EA SPORTS,D. Alavés,,,,,
1888,Josep Martínez,75,75,71,67,74,26,76,GK,1,26,Spain,Serie A Enilive,Lombardia FC,75.0,71.0,67.0,76.0,74.0
1888,Omar Mascarell,75,53,64,71,74,72,71,CM,3,31,Spain,LALIGA EA SPORTS,RCD Mallorca,,,,,
1888,Georgios Masouras,75,75,75,73,73,53,70,RM,3,30,Greece,Hellas Liga,Olympiacos FC,,,,,
1888,Philipp Max,75,73,65,74,74,70,72,LB,3,30,Germany,Hellas Liga,Panathinaikos,,,,,
1888,Alexandru Maxim,75,69,74,77,78,34,60,CAM,4,34,Romania,Trendyol Süper Lig,Gaziantep,,,,,
1888,Brandon Mechele,75,51,39,51,53,79,77,CB,2,31,Belgium,1A Pro League,Club Brugge,,,,,
1888,Cristian Medina,75,75,64,72,79,69,69,CM,3,22,Argentina,Sudamericana,Boca Juniors,,,,,
1888,Nampalys Mendy,75,56,54,70,74,74,67,CDM,3,32,Senegal,Ligue 1 McDonald's,RC Lens,,,,,
1888,Junior Messias,75,79,72,72,78,49,56,RM,3,33,Brazil,Serie A Enilive,Genoa,,,,,
1888,Alexander Meyer,75,72,71,77,76,41,74,GK,1,33,Germany,Bundesliga,Borussia Dortmund,72.0,71.0,77.0,74.0,76.0
1888,James Milner,75,50,70,78,74,74,73,CM,3,38,England,Premier League,Brighton,,,,,
1888,Mingueza,75,79,35,65,64,72,75,RB,2,25,Spain,LALIGA EA SPORTS,RC Celta,,,,,
1888,Mostafa Mohamed,75,72,76,58,69,37,79,ST,3,26,Egypt,Ligue 1 McDonald's,FC Nantes,,,,,
1888,Nikola Moro,75,67,73,75,74,70,75,CDM,3,26,Croatia,Serie A Enilive,Bologna,,,,,
1888,Kevin Müller,75,73,71,69,78,48,74,GK,1,33,Germany,Bundesliga,Heidenheim,73.0,71.0,69.0,74.0,78.0
1888,Rodrigo Muniz,75,73,74,59,71,42,77,ST,3,23,Brazil,Premier League,Fulham,,,,,
1888,Arijanet Murić,75,76,73,79,77,45,74,GK,1,25,Kosovo,Premier League,Ipswich,76.0,73.0,79.0,74.0,77.0
1888,Yunus Musah,75,88,69,71,81,71,82,CM,4,21,United States,Serie A Enilive,Milano FC,,,,,
1888,Darlington Nagbe,75,73,67,71,80,63,73,CM,3,34,United States,MLS,Columbus Crew,,,,,
1888,Nahitan Nández,75,81,61,71,77,68,79,RM,3,28,Uruguay,ROSHN Saudi League,Al Qadisiyah,,,,,
1888,Amath Ndiaye,75,89,72,69,77,49,64,LM,4,28,Senegal,LALIGA EA SPORTS,R. Valladolid CF,,,,,
1888,Iliman Ndiaye,75,84,72,63,82,40,62,ST,4,24,Senegal,Premier League,Everton,,,,,
1888,Dan Ndoye,75,81,67,67,78,64,68,RM,3,23,Switzerland,Serie A Enilive,Bologna,,,,,
1888,Reiss Nelson,75,85,67,71,78,36,55,RW,4,24,England,Premier League,Fulham,,,,,
1888,Jota,75,86,70,70,81,37,59,LM,5,25,Portugal,Ligue 1 McDonald's,Stade Rennais FC,,,,,
1888,Bart Nieuwkoop,75,70,63,73,71,71,77,RM,3,28,Holland,Eredivisie,Feyenoord,,,,,
1888,Tijjani Noslin,75,80,73,66,78,43,74,ST,4,25,Holland,Serie A Enilive,Latium,,,,,
1888,Jake O'Brien,75,76,41,53,51,73,79,CB,2,23,Republic of Ireland,Premier League,Everton,,,,,
1888,Warmed Omari,75,65,34,58,62,77,73,CB,2,24,France,Ligue 1 McDonald's,OL,,,,,
1888,Bećir Omeragić,75,75,40,63,68,75,73,CB,2,22,Switzerland,Ligue 1 McDonald's,Montpellier,,,,,
1888,Raphael Onyedika,75,74,64,64,71,72,80,CDM,2,23,Nigeria,1A Pro League,Club Brugge,,,,,
1888,Henry Onyekuru,75,92,74,65,77,35,60,LM,4,27,Nigeria,ROSHN Saudi League,Al Fayha,,,,,
1888,Jayden Oosterwolde,75,89,42,61,72,72,80,LB,2,23,Holland,Trendyol Süper Lig,Fenerbahçe,,,,,
1888,Aimar Oroz,75,68,74,71,76,58,65,CM,3,22,Spain,LALIGA EA SPORTS,CA Osasuna,,,,,
1888,Francisco Ortega,75,86,58,72,78,67,78,LB,3,25,Argentina,Hellas Liga,Olympiacos FC,,,,,
1888,Azzedine Ounahi,75,64,63,73,77,63,66,CM,3,24,Morocco,Hellas Liga,Panathinaikos,,,,,
1888,Joseph Paintsil,75,90,70,68,78,33,73,RM,4,26,Ghana,MLS,LA Galaxy,,,,,
1888,Sebastián Palacios,75,81,73,71,77,44,66,RW,4,32,Argentina,Libertadores,Talleres,,,,,
1888,Alexandros Paschalakis,75,76,72,58,77,51,75,GK,1,35,Greece,Hellas Liga,Olympiacos FC,76.0,72.0,58.0,75.0,77.0
1888,Luca Pellegrini,75,71,54,66,76,71,58,LB,3,25,Italy,Serie A Enilive,Latium,,,,,
1888,Rubén Peña,75,72,69,70,73,72,65,RB,4,33,Spain,LALIGA EA SPORTS,CA Osasuna,,,,,
1888,David Costa,75,76,70,73,81,34,46,CAM,3,23,Portugal,Ligue 1 McDonald's,RC Lens,,,,,
1888,Mathias Pereira Lage,75,86,72,74,74,61,67,LW,4,27,Portugal,Ligue 1 McDonald's,Stade Brestois 29,,,,,
1888,Enzo Pérez,75,57,66,74,77,71,74,CDM,3,38,Argentina,Libertadores,Estudiantes,,,,,
1888,Nehuén Pérez,75,49,25,47,50,77,73,CB,2,24,Argentina,Liga Portugal,FC Porto,,,,,
1888,Lucas Pérez,75,74,76,75,72,30,70,ST,4,36,Spain,LALIGA HYPERMOTION,RC Deportivo,,,,,
1888,Jaden Philogene,75,85,71,69,78,37,59,LM,4,22,England,Premier League,Aston Villa,,,,,
1888,Diogo Leite,75,55,38,50,61,77,76,CB,2,25,Portugal,Bundesliga,Union Berlin,,,,,
1888,Joel Pohjanpalo,75,68,76,63,72,38,76,ST,3,30,Finland,Serie A Enilive,Venezia,,,,,
1888,Ezequiel Ponce,75,75,75,61,73,38,75,ST,3,27,Argentina,MLS,Houston Dynamo,,,,,
1888,Marin Pongračić,75,61,26,52,62,75,75,CB,2,27,Croatia,Serie A Enilive,Fiorentina,,,,,
1888,Denys Popov,75,63,40,51,61,75,75,CB,2,25,Ukraine,Ukrayina Liha,Dynamo Kyiv,,,,,
1888,Ángelo Preciado,75,84,63,70,76,66,72,RB,3,26,Ecuador,Česká Liga,Sparta Praha,,,,,
1888,Vako,75,76,71,70,77,41,69,LM,4,31,Georgia,CSL,Shandong Taishan,,,,,
1888,Jarell Quansah,75,74,34,59,68,74,77,CB,2,21,England,Premier League,Liverpool,,,,,
1888,Nemanja Radonjić,75,88,75,69,75,30,61,CAM,4,28,Serbia,Serie A Enilive,Torino,,,,,
1888,Sandro,75,78,76,67,76,31,63,ST,3,29,Spain,LALIGA EA SPORTS,UD Las Palmas,,,,,
1888,Chris Ramos,75,80,73,64,73,35,68,ST,3,27,Spain,LALIGA HYPERMOTION,Cádiz CF,,,,,
1888,Milot Rashica,75,81,74,71,76,50,73,RM,4,28,Kosovo,Trendyol Süper Lig,Beşiktaş,,,,,
1888,Nicolas Raskin,75,69,63,73,75,72,75,CM,3,23,Belgium,Scottish Prem,Rangers,,,,,
1888,Harrison Reed,75,59,60,71,71,72,74,CDM,3,29,England,Premier League,Fulham,,,,,
1888,Fabian Reese,75,82,69,70,73,42,80,LM,3,26,Germany,Bundesliga 2,Hertha BSC,,,,,
1888,Sérgio Oliveira,75,48,75,79,71,66,58,CM,3,32,Portugal,Trendyol Süper Lig,Galatasaray,,,,,
1888,Panagiotis Retsos,75,67,37,59,61,74,74,CB,2,26,Greece,Hellas Liga,Olympiacos FC,,,,,
1888,Rodrigo Rey,75,73,73,70,76,50,75,GK,1,33,Argentina,Primera División,Independiente,73.0,73.0,70.0,75.0,76.0
1888,Giovanni Reyna,75,77,72,71,79,37,67,RM,4,21,United States,Bundesliga,Borussia Dortmund,,,,,
1888,Luis Rioja,75,77,75,71,78,37,50,LM,3,30,Spain,LALIGA EA SPORTS,Valencia CF,,,,,
1888,Joel Robles,75,76,73,71,77,50,72,GK,1,34,Spain,Liga Portugal,Estoril Praia,76.0,73.0,71.0,72.0,77.0
1888,Joe Rodon,75,70,32,51,59,76,77,CB,2,26,Wales,EFL Championship,Leeds United,,,,,
1888,Fábio Cardoso,75,57,32,53,64,75,81,CB,2,30,Portugal,United Emirates League,Al Ain FC,,,,,
1888,Paulo Oliveira,75,54,34,52,61,77,72,CB,2,32,Portugal,Liga Portugal,SC Braga,,,,,
1888,Sebastián Rodríguez,75,63,67,75,73,68,68,CM,3,32,Uruguay,Libertadores,Alianza Lima,,,,,
1888,Diego Rodríguez,75,73,72,76,76,45,74,GK,1,35,Argentina,Sudamericana,Argentinos Jrs.,73.0,72.0,76.0,74.0,76.0
1888,Morgan Rogers,75,77,71,71,77,56,71,LM,3,22,England,Premier League,Aston Villa,,,,,
1888,Merlin Röhl,75,81,65,69,77,62,72,CM,3,22,Germany,Bundesliga,SC Freiburg,,,,,
1888,Matías Rojas,75,76,76,74,77,56,59,RW,4,28,Paraguay,MLS,Inter Miami CF,,,,,
1888,Benjamín Rollheiser,75,83,74,70,77,42,64,CAM,4,24,Argentina,Liga Portugal,SL Benfica,,,,,
1888,Zaid Romero,75,73,30,53,64,74,87,CB,2,24,Argentina,1A Pro League,Club Brugge,,,,,
1888,Pablo Rosario,75,58,64,68,72,74,79,CDM,3,27,Holland,Ligue 1 McDonald's,OGC Nice,,,,,
1888,Diego Rossi,75,88,72,70,77,34,55,CAM,3,26,Uruguay,MLS,Columbus Crew,,,,,
1888,Anthony Rouault,75,64,30,61,60,76,73,CB,2,23,France,Bundesliga,VfB Stuttgart,,,,,
1888,Daniel Felipe Ruiz,75,70,71,73,75,48,58,LM,4,23,Colombia,Libertadores,Millonarios,,,,,
1888,Georginio Rutter,75,79,69,70,79,42,70,CAM,5,22,France,Premier League,Brighton,,,,,
1888,Wesley Saïd,75,76,75,67,78,30,58,ST,4,29,France,Ligue 1 McDonald's,RC Lens,,,,,
1888,Eduardo Salvio,75,77,72,72,79,54,66,RW,5,34,Argentina,Sudamericana,Lanús,,,,,
1888,Lazar Samardžić,75,70,71,73,79,60,62,CM,4,22,Serbia,Serie A Enilive,Bergamo Calcio,,,,,
1888,Albert Sambi Lokonga,75,64,58,74,76,68,71,CM,3,24,Belgium,LALIGA EA SPORTS,Sevilla FC,,,,,
1888,Zaidu Sanusi,75,90,37,55,63,73,72,LB,2,27,Nigeria,Liga Portugal,FC Porto,,,,,
1888,Yusuf Sarı,75,85,70,70,79,33,59,RM,3,25,Turkey,Trendyol Süper Lig,Adana Demirspor,,,,,
1888,Martín Satriano,75,67,74,62,73,34,69,ST,3,23,Uruguay,Ligue 1 McDonald's,RC Lens,,,,,
1888,Keven Schlotterbeck,75,61,27,53,54,76,73,CB,2,27,Germany,Bundesliga,FC Augsburg,,,,,
1888,Romano Schmid,75,77,63,70,81,53,58,CAM,3,24,Austria,Bundesliga,SV Werder Bremen,,,,,
1888,Rob Schoofs,75,53,72,76,74,67,66,CM,3,30,Belgium,1A Pro League,KV Mechelen,,,,,
1888,Bruno Varela,75,75,73,69,76,39,73,GK,1,29,Cape Verde Islands,Liga Portugal,Vitória SC,75.0,73.0,69.0,73.0,76.0
1888,Lawrence Shankland,75,63,78,64,74,28,80,ST,2,29,Scotland,Scottish Prem,Hearts,,,,,
1888,Ben Sheaf,75,54,47,71,71,74,74,CDM,2,26,England,EFL Championship,Coventry City,,,,,
1888,Vincent Sierro,75,61,67,75,72,70,75,CM,3,28,Switzerland,Ligue 1 McDonald's,Toulouse FC,,,,,
1888,David Silva,75,62,69,75,74,54,68,CAM,4,37,Colombia,Libertadores,Millonarios,,,,,
1888,Douglas Augusto,75,72,69,70,72,73,80,CM,2,27,Brazil,Ligue 1 McDonald's,FC Nantes,,,,,
1888,Asger Sørensen,75,57,45,61,61,77,76,CB,2,28,Denmark,Česká Liga,Sparta Praha,,,,,
1888,Junior Sornoza,75,74,75,75,75,41,51,CAM,3,30,Ecuador,Libertadores,IDV,,,,,
1888,Borna Sosa,75,71,53,78,75,67,71,LB,3,26,Croatia,Serie A Enilive,Torino,,,,,
1888,Ramón Sosa,75,82,66,68,76,49,65,LM,3,25,Paraguay,Premier League,Nott'm Forest,,,,,
1888,Boubakary Soumaré,75,67,56,73,74,70,77,CDM,3,25,France,Premier League,Leicester City,,,,,
1888,Stijn Spierings,75,54,66,68,70,74,75,CDM,3,28,Holland,3F Superliga,Brøndby IF,,,,,
1888,Jens Stage,75,65,68,71,73,73,78,CM,3,27,Denmark,Bundesliga,SV Werder Bremen,,,,,
1888,Jason Steele,75,75,73,80,74,39,75,GK,1,34,England,Premier League,Brighton,75.0,73.0,80.0,75.0,74.0
1888,Renato Steffen,75,86,70,71,77,53,66,RW,3,32,Switzerland,CSSL,FC Lugano,,,,,
1888,Sem Steijn,75,66,78,69,75,38,75,CAM,3,22,Holland,Eredivisie,FC Twente,,,,,
1888,Miroslav Stevanović,75,78,70,75,73,39,69,RM,3,34,Bosnia and Herzegovina,CSSL,Servette FC,,,,,
1888,Luis Javier Suárez,75,80,77,65,71,38,75,ST,3,26,Colombia,LALIGA HYPERMOTION,UD Almería,,,,,
1888,Denis Suárez,75,59,70,77,77,64,54,CM,3,30,Spain,LALIGA EA SPORTS,Villarreal CF,,,,,
1888,Pavel Šulc,75,71,72,73,76,39,60,CAM,4,23,Czech Republic,Česká Liga,Viktoria Plzeň,,,,,
1888,Jonas Svensson,75,74,60,70,74,72,79,RB,3,31,Norway,Trendyol Süper Lig,Beşiktaş,,,,,
1888,Mile Svilar,75,75,73,70,78,58,75,GK,1,25,Serbia,Serie A Enilive,AS Roma,75.0,73.0,70.0,75.0,78.0
1888,Sammie Szmodics,75,79,75,70,76,51,67,CAM,3,28,Republic of Ireland,Premier League,Ipswich,,,,,
1888,Terrats,75,60,64,70,71,71,71,CM,3,23,Spain,LALIGA EA SPORTS,Villarreal CF,,,,,
1888,Tetê,75,80,70,70,78,41,56,RM,4,24,Brazil,Hellas Liga,Panathinaikos,,,,,
1888,Adrien Thomasson,75,59,73,76,77,64,72,CAM,4,30,France,Ligue 1 McDonald's,RC Lens,,,,,
1888,Guus Til,75,81,73,71,73,64,74,CAM,3,26,Holland,Eredivisie,PSV,,,,,
1888,Tarik Tissoudali,75,73,75,69,80,37,60,ST,4,31,Morocco,Hellas Liga,PAOK FC,,,,,
1888,Hamed Traorè,75,76,69,72,78,57,59,CAM,3,24,Côte d'Ivoire,Ligue 1 McDonald's,AJ Auxerre,,,,,
1888,Adama Traoré,75,93,65,64,81,37,80,RM,4,28,Spain,Premier League,Fulham,,,,,
1888,Mike Trésor,75,85,68,74,77,38,58,LM,4,25,Belgium,EFL Championship,Burnley,,,,,
1888,Christopher Trimmel,75,69,65,74,68,74,79,RB,3,37,Austria,Bundesliga,Union Berlin,,,,,
1888,Christos Tzolis,75,77,73,67,79,38,67,LM,4,22,Greece,1A Pro League,Club Brugge,,,,,
1888,Felix Uduokhai,75,62,39,53,59,76,75,CB,2,27,Germany,Trendyol Süper Lig,Beşiktaş,,,,,
1888,Aurélio Buta,75,87,60,69,77,67,67,RM,4,27,Portugal,Ligue 1 McDonald's,Stade de Reims,,,,,
1888,Samuel Umtiti,75,55,57,67,61,76,73,CB,2,30,France,Ligue 1 McDonald's,LOSC Lille,,,,,
1888,Josha Vagnoman,75,87,61,69,73,70,81,RB,3,23,Germany,Bundesliga,VfB Stuttgart,,,,,
1888,Cote,75,64,58,80,73,73,70,LB,3,35,Spain,LALIGA HYPERMOTION,R. Sporting,,,,,
1888,Donny van de Beek,75,65,76,74,75,70,67,CM,3,27,Holland,LALIGA EA SPORTS,Girona FC,,,,,
1888,Maarten Vandevoordt,75,77,74,73,76,40,73,GK,1,22,Belgium,Bundesliga,RB Leipzig,77.0,74.0,73.0,73.0,76.0
1888,Barnabás Varga,75,70,77,56,70,20,72,ST,3,30,Hungary,Magyar Liga,Ferencvárosi TC,,,,,
1888,Ruben Vargas,75,82,70,69,79,54,65,LM,4,26,Switzerland,Bundesliga,FC Augsburg,,,,,
1888,Franco Vázquez,75,42,77,77,77,56,77,CAM,4,35,Argentina,Serie BKT,Cremonese,,,,,
1888,Kevin,75,67,53,67,66,73,66,RB,3,31,Spain,LALIGA HYPERMOTION,R. Sporting,,,,,
1888,Alan Velasco,75,83,68,71,80,52,61,LM,4,22,Argentina,MLS,FC Dallas,,,,,
1888,Alejo Veliz,75,71,74,54,70,25,73,ST,3,20,Argentina,LALIGA EA SPORTS,RCD Espanyol,,,,,
1888,Simone Verdi,75,77,71,74,79,43,47,CAM,4,32,Italy,Serie A Enilive,Como,,,,,
1888,Iñigo Vicente,75,78,68,74,76,47,62,LM,4,26,Spain,LALIGA HYPERMOTION,R. Racing Club,,,,,
1888,Domagoj Vida,75,70,41,58,59,77,79,CB,2,35,Croatia,Hellas Liga,AEK Athens,,,,,
